TRUTH,BUY,LIMIT,IOC,4421,0.0224210,0.0221544,FILLED,318,4421,1765417435108,99.123241
USTC,SELL,LIMIT,IOC,5449,0.0100560,0.0101820,FILLED,3357,5449,1765417435269,54.795144
USTC,SELL,LIMIT,IOC,487,0.0100530,0.0101860,FILLED,487,487,1765417436392,4.895811
ZEC,SELL,LIMIT,IOC,14.510,387.11,391.10,FILLED,0.666,14.510,1765417436571,5616.966100000001
TRUTH,BUY,LIMIT,IOC,4419,0.0224460,0.0222219,FILLED,320,4419,1765417441334,99.188874
TRUTH,BUY,LIMIT,IOC,453,0.0224590,0.0221400,FILLED,453,453,1765417442561,10.173926999999999
RVV,SELL,LIMIT,IOC,42456,0.0034640,0.0036290,FILLED,2158,42456,1765417447556,147.067584
BEAT,SELL,LIMIT,IOC,63,1.6466000,1.6779412,FILLED,30,63,1765417448354,103.7358
PIPPIN,SELL,LIMIT,IOC,179,0.3133100,0.3190600,FILLED,179,179,1765417448354,56.08248999999999
RVV,SELL,LIMIT,IOC,38919,0.0034620,0.0036310,FILLED,18905,38919,1765417449574,134.73757799999998
USTC,SELL,LIMIT,IOC,116163,0.0100370,0.0101848,FILLED,14914,116163,1765417453522,1165.9280310000001
BEAT,SELL,LIMIT,IOC,1246,1.6349000,1.6708417,FILLED,100,1246,1765417458085,2037.0854
RVV,SELL,LIMIT,IOC,2602620,0.0034570,0.0036280,FILLED,133435,2602620,1765417458481,8997.25734
TRUTH,BUY,LIMIT,IOC,792,0.0224840,0.0223180,FILLED,343,792,1765417459222,17.807328000000002
TRUTH,BUY,LIMIT,IOC,3000,0.0224970,0.0223850,FILLED,253,3000,1765417460561,67.491
RVV,SELL,LIMIT,IOC,17343,0.0034500,0.0036240,FILLED,17343,17343,1765417461197,59.833349999999996
TRUTH,BUY,LIMIT,IOC,261,0.0225370,0.0223310,FILLED,261,261,1765417462333,5.882157
TRUTH,BUY,LIMIT,IOC,3712,0.0225550,0.0222983,FILLED,1263,3712,1765417463516,83.72416
BEAT,SELL,LIMIT,IOC,29,1.6397000,1.6708000,FILLED,29,29,1765417463597,47.5513
BEAT,SELL,LIMIT,IOC,198,1.6386000,1.6704994,FILLED,36,198,1765417465131,324.44280000000003
NIGHT,SELL,LIMIT,IOC,229,0.0629700,0.0639400,FILLED,229,229,1765417466238,14.42013
TRUTH,BUY,LIMIT,IOC,284,0.0225730,0.0223110,FILLED,284,284,1765417468488,6.410731999999999
MET,SELL,LIMIT,IOC,326,0.2754000,0.2781000,FILLED,326,326,1765417470337,89.78039999999999
0G,SELL,LIMIT,IOC,600,0.9649000,0.9741673,FILLED,121,600,1765417474332,578.9399999999999
PIPPIN,SELL,LIMIT,IOC,1214,0.3128300,0.3181237,FILLED,592,1214,1765417474332,379.77562
MAVIA,SELL,LIMIT,IOC,9158,0.0514900,0.0530015,FILLED,2151,9158,1765417474332,471.54542000000004
BEAT,SELL,LIMIT,IOC,294,1.6375000,1.6717884,FILLED,26,294,1765417474332,481.425
TRUTH,BUY,LIMIT,IOC,300,0.0226360,0.0224540,FILLED,300,300,1765417474423,6.7908
BEAT,SELL,LIMIT,IOC,2073,1.6346000,1.6708249,FILLED,5,2073,1765417478392,3388.5258
TRUTH,BUY,LIMIT,IOC,22209,0.0226820,0.0224911,FILLED,6432,22209,1765417479141,503.74453800000003
BEAT,SELL,LIMIT,IOC,5,1.6365000,1.6683000,FILLED,5,5,1765417483199,8.182500000000001
COAI,SELL,LIMIT,IOC,7,0.4655000,0.4899000,FILLED,7,7,1765417483199,3.2585
RIVER,SELL,LIMIT,IOC,129.7,6.043000,6.128747,FILLED,4.9,129.7,1765417483484,783.7770999999999
TRUTH,BUY,LIMIT,IOC,1079,0.0227300,0.0225500,FILLED,1079,1079,1765417484075,24.52567
PIPPIN,SELL,LIMIT,IOC,1125,0.3092500,0.3169945,FILLED,137,1125,1765417491203,347.90625
TRUTH,BUY,LIMIT,IOC,364,0.0228790,0.0225510,FILLED,364,364,1765417495359,8.327956
NIGHT,SELL,LIMIT,IOC,16856,0.0626800,0.0636674,FILLED,134,16856,1765417495499,1056.53408
SAHARA,SELL,LIMIT,IOC,20010,0.0320600,0.0325201,FILLED,7792,20010,1765417495499,641.5206
BEAT,SELL,LIMIT,IOC,2281,1.6417000,1.6681256,FILLED,223,2281,1765417498804,3744.7176999999997
APR,SELL,LIMIT,IOC,805,0.1291200,0.1307552,FILLED,239,805,1765417502487,103.94160000000001
ETH,SELL,LIMIT,IOC,10.082,3250.20,3262.70,FILLED,2.017,10.082,1765417504041,32768.5164
PIPPIN,SELL,LIMIT,IOC,134,0.3086900,0.3179900,FILLED,134,134,1765417504041,41.36446
ZEC,SELL,LIMIT,IOC,30.024,387.36,391.07,FILLED,1.691,30.024,1765417504041,11630.096640000002
ASTER,SELL,LIMIT,IOC,43,0.9168000,0.9255000,FILLED,43,43,1765417504231,39.422399999999996
ASTER,SELL,LIMIT,IOC,1948,0.9166000,0.9251000,FILLED,1948,1948,1765417505468,1785.5367999999999
D,SELL,LIMIT,IOC,15069,0.0147300,0.0149291,FILLED,1307,15069,1765417505468,221.96637
FOLKS,BUY,LIMIT,IOC,13.2,15.711000,15.464000,FILLED,13.2,13.2,1765417505468,207.3852
ASTER,SELL,LIMIT,IOC,340000,0.9103000,0.9248183,FILLED,985,340000,1765417506799,309502.0
ZEN,SELL,LIMIT,IOC,182.2,8.901,9.077,FILLED,0.9,182.2,1765417507493,1621.7622
ASTER,SELL,LIMIT,IOC,8,0.9156000,0.9244000,FILLED,8,8,1765417509106,7.3248
ZEN,SELL,LIMIT,IOC,0.7,8.987,9.075,FILLED,0.7,0.7,1765417509416,6.2909
ASTER,SELL,LIMIT,IOC,53,0.9154000,0.9245000,FILLED,42,53,1765417511135,48.5162
ASTER,SELL,LIMIT,IOC,131,0.9151000,0.9245000,FILLED,131,131,1765417512207,119.8781
NIGHT,SELL,LIMIT,IOC,915,0.0626200,0.0633600,FILLED,915,915,1765417514170,57.29729999999999
ZEC,SELL,LIMIT,IOC,0.500,386.95,390.82,FILLED,0.075,0.500,1765417518181,193.475
TRUTH,SELL,LIMIT,IOC,444,0.0220350,0.0223240,FILLED,444,444,1765417519179,9.78354
NIGHT,SELL,LIMIT,IOC,758,0.0624200,0.0631817,FILLED,626,758,1765417521122,47.31436
TRUTH,SELL,LIMIT,IOC,1728,0.0220030,0.0222820,FILLED,1728,1728,1765417521122,38.021184000000005
